"Squad","Def 3rd","Mid 3rd","Att 3rd","Blocks","Int","Clr","Age","PrgC","PrgP","Gls","Ast","xG","xAG","Ranking"
Rennes,255,251,94,392,341,587,25.2,774,1922,1.74,1.24,1.62,1.2,22
Roma,301,257,66,392,368,590,28.3,684,1217,1.32,0.87,1.51,1.02,28
Salernitana,309,220,58,409,329,740,28,519,1089,1.21,0.89,0.96,0.71,90
Sampdoria,290,240,59,428,317,688,28.7,466,1126,0.61,0.47,0.9,0.64,89
Sassuolo,237,186,79,371,278,658,27,761,1565,1.21,0.79,1.36,0.95,61
Schalke 04,240,246,56,397,306,723,27.5,415,934,0.94,0.71,1.16,0.84,69
Sevilla,261,230,96,361,339,633,28.7,558,1513,1.24,0.82,1.22,0.84,39
Southampton,377,279,57,542,428,852,24.7,588,1125,0.95,0.66,0.99,0.74,88
Spezia,290,236,96,457,301,830,26.6,553,1163,0.76,0.47,1.09,0.77,87
Strasbourg,316,284,90,423,437,688,27.3,610,1351,1.26,0.74,1.28,0.84,50
Stuttgart,255,207,66,421,308,666,24.7,609,1278,1.32,1,1.4,1.12,46
Torino,231,187,55,337,292,627,26.1,684,1328,1.08,0.89,1.1,0.92,38
Tottenham,325,215,79,428,340,762,27.6,692,1449,1.79,1.21,1.5,1.13,18
Toulouse,349,264,103,476,409,656,25.1,648,1737,1.32,0.87,1.38,0.94,64
Troyes,333,207,68,416,398,779,25.8,638,1235,1.13,0.68,1.03,0.73,91
Udinese,363,228,60,437,314,712,27,646,1354,1.21,1.08,1.24,0.99,65
Union Berlin,217,216,61,356,262,704,27.9,375,1012,1.44,1.12,1.12,0.76,51
Valencia,340,254,84,370,288,643,24.2,786,1472,1.05,0.61,1.3,0.86,41
Valladolid,334,251,86,432,345,767,27.4,610,1244,0.84,0.63,1.02,0.75,81
Villarreal,276,201,101,372,262,691,28.4,846,1622,1.5,0.87,1.62,1.13,30
Werder Bremen,269,273,53,371,321,789,27.4,412,1140,1.47,1.09,1.21,0.85,58
West Ham,289,226,92,415,408,810,28.2,614,1274,1.08,0.66,1.29,0.86,35
Wolfsburg,255,206,82,443,292,701,24.8,455,1306,1.62,1.29,1.51,1.15,37
Wolves,364,222,75,497,279,817,26.7,610,1343,0.74,0.32,0.97,0.67,70
