"Player","Squad","Born","PrgC","PrgP","Gls","Ast","G+A","xG","xAG"
Samuel Gigot,Marseille,1993,33,74,0.1,0.1,0.19,0.12,0.02
Matthias Ginter,Freiburg,1994,23,122,0.12,0.03,0.15,0.06,0.03
Andrei Girotto,Nantes,1992,14,140,0.03,0.03,0.06,0.05,0.06
Olivier Giroud,Milan,1986,12,36,0.55,0.21,0.76,0.53,0.17
Serge Gnabry,Bayern Munich,1995,74,82,0.65,0.23,0.88,0.52,0.25
Degnand Gnonto,Leeds United,2003,66,35,0.13,0.27,0.4,0.12,0.15
Aleksandr Golovin,Monaco,1996,89,132,0.29,0.26,0.55,0.19,0.21
Andr� Gomes,Lille,1993,26,160,0.17,0.11,0.28,0.06,0.07
Angel Gomes,Lille,2000,39,166,0.06,0.19,0.26,0.15,0.1
Moi G�mez,Osasuna,1994,37,184,0.11,0.07,0.18,0.06,0.15
Papu G�mez,Sevilla,1988,34,82,0.08,0.08,0.17,0.12,0.15
Joan Gonz�lez,Lecce,2002,18,71,0.04,0.12,0.16,0.06,0.05
Nicol�s Gonz�lez,Fiorentina,1998,37,70,0.4,0.07,0.47,0.45,0.09
Nicol�s Gonz�lez,Valencia,2002,21,81,0.06,0.06,0.13,0.1,0.09
Leon Goretzka,Bayern Munich,1995,42,114,0.16,0.1,0.26,0.25,0.12
Mario G�tze,Eint Frankfurt,1992,57,149,0.1,0.03,0.13,0.11,0.17
Amine Gouiri,Rennes,2000,63,70,0.54,0.11,0.64,0.4,0.15
Jonathan Gradit,Lens,1992,41,233,0.03,0.1,0.13,0.03,0.04
Demarai Gray,Everton,1996,94,46,0.14,0.04,0.18,0.22,0.14
Jack Grealish,Manchester City,1995,143,100,0.22,0.31,0.53,0.2,0.31
Sam Greenwood,Leeds United,2002,7,15,0.21,0.42,0.64,0.15,0.24
Michael Gregoritsch,Freiburg,1994,22,57,0.42,0.17,0.59,0.42,0.12
Antoine Griezmann,Atletico Madrid,1991,99,171,0.47,0.5,0.98,0.39,0.44
Vincenzo Grifo,Freiburg,1993,65,128,0.56,0.19,0.75,0.39,0.21
Christian Gro�,Werder Bremen,1989,22,67,0.05,0.05,0.1,0.01,0.02
Pascal Gro�,Brighton,1991,62,255,0.25,0.22,0.47,0.15,0.3
Andr�s Guardado,Betis,1986,14,72,0.07,0.07,0.13,0.02,0.07
Nemanja Gudelj,Sevilla,1991,29,110,0.1,0.03,0.13,0.06,0.01
Gon�alo Guedes,Wolves,1996,20,16,0.13,0.13,0.25,0.15,0.06
Matt�o Guendouzi,Marseille,1999,50,170,0.09,0.17,0.26,0.14,0.09
Rapha�l Guerreiro,Dortmund,1993,85,191,0.16,0.47,0.63,0.11,0.3
Evann Guessand,Nantes,2001,46,37,0.21,0.14,0.36,0.18,0.1
Pape Gueye,Sevilla,1999,9,59,0.08,0.23,0.31,0.1,0.09
Pape Gueye,Marseille,1999,9,31,0.18,0.18,0.37,0.13,0.16
Hugo Guillam�n,Valencia,2000,11,101,0.06,0.22,0.28,0.06,0.09
Bruno Guimar�es,Newcastle United,1997,41,222,0.13,0.17,0.3,0.09,0.13
Gerard Gumbau,Elche,1994,18,145,0.03,0.2,0.23,0.08,0.2
Robert Gumny,Augsburg,1998,23,56,0.04,0.09,0.13,0.03,0.03
?lkay G�ndo?an,Manchester City,1990,53,170,0.31,0.15,0.46,0.29,0.13
Christian G�nter,Freiburg,1993,43,77,0.03,0.13,0.16,0.04,0.17
Gorka Guruzeta,Athletic Club,1996,15,37,0.38,0.06,0.44,0.39,0.06
Miguel Guti�rrez,Girona,2001,81,125,0.08,0.11,0.19,0.03,0.12
Erling Haaland,Manchester City,2000,35,58,1.17,0.26,1.43,0.92,0.17
Nicolas Haas,Empoli,1996,10,36,0.08,0.08,0.16,0.09,0.07
Janik Haberer,Union Berlin,1994,21,78,0.21,0.04,0.25,0.13,0.09
Munir El Haddadi,Getafe,1995,20,30,0.23,0.08,0.31,0.21,0.09
Amadou Haidara,RB Leipzig,1998,10,85,0.13,0.06,0.19,0.18,0.09
Achraf Hakimi,Paris S-G,1998,85,99,0.22,0.13,0.35,0.17,0.13
S�bastien Haller,Dortmund,1994,11,22,0.66,0.22,0.88,0.62,0.17
Marcel Halstenberg,RB Leipzig,1991,22,59,0.06,0.06,0.12,0.06,0.12
Romain Hamouma,Ajaccio,1987,29,47,0.17,0.17,0.33,0.25,0.19
Andreas Hanche-Olsen,Mainz 05,1997,6,43,0.06,0.18,0.24,0.03,0.07
Jack Harrison,Leeds United,1996,103,103,0.17,0.23,0.4,0.16,0.17
Hans Hateboer,Atalanta,1994,16,55,0.06,0.06,0.13,0.09,0.1
Kai Havertz,Chelsea,1999,59,89,0.25,0.04,0.28,0.41,0.13
Hwang Hee-chan,Wolves,1996,25,30,0.24,0.08,0.32,0.23,0.09
Benjamin Henrichs,RB Leipzig,1997,48,109,0.08,0.08,0.16,0.05,0.07
Luiz Henrique,Betis,2001,61,26,0.05,0.15,0.2,0.16,0.14
Matheus Henrique,Sassuolo,1997,40,116,0.18,0.05,0.23,0.13,0.08
Mario Hermoso,Atletico Madrid,1995,23,115,0.13,0.09,0.21,0.09,0.06
Theo Hernandez,Milan,1997,108,128,0.13,0.1,0.23,0.13,0.11
Yangel Herrera,Girona,1998,18,46,0.19,0.19,0.37,0.22,0.1
Son Heung-min,Tottenham,1992,82,79,0.31,0.19,0.5,0.31,0.2
Piero Hincapi�,Leverkusen,2002,46,83,0.04,0.04,0.07,0.05,0.04
Adam Hlo�ek,Leverkusen,2002,22,32,0.35,0.21,0.56,0.19,0.18
Jonas Hofmann,M'Gladbach,1992,73,119,0.4,0.3,0.71,0.24,0.37
Philipp Hofmann,Bochum,1993,7,71,0.27,0.07,0.34,0.3,0.09
Lucas H�ler,Freiburg,1994,19,33,0.3,0.12,0.42,0.19,0.11
Emil Holm,Spezia,2000,41,40,0.06,0.06,0.13,0.08,0.08
Gerrit Holtmann,Bochum,1995,37,8,0.1,0.1,0.19,0.23,0.07
Franck Honorat,Brest,1996,98,70,0.21,0.18,0.39,0.17,0.33
Will Hughes,Crystal Palace,1995,14,32,0.11,0.11,0.21,0.04,0.1
Adrien Hunou,Angers,1994,34,62,0.16,0.04,0.2,0.26,0.09
Denis Huseinbasic,Koln,2001,12,34,0.46,0.11,0.57,0.27,0.04
Elseid Hysaj,Lazio,1994,36,103,0.05,0.05,0.09,0.01,0.05
Pierre H�jbjerg,Tottenham,1995,46,235,0.11,0.14,0.26,0.06,0.09
Rasmus H�jlund,Atalanta,2003,40,37,0.44,0.1,0.54,0.47,0.12
Borja Iglesias,Betis,1993,20,33,0.57,0.11,0.68,0.57,0.11
Kelechi Iheanacho,Leicester City,1996,33,27,0.4,0.4,0.8,0.57,0.32
Jonathan Ikone,Fiorentina,1998,83,67,0.18,0.18,0.36,0.18,0.17
Ivan Ili?,Torino,2001,29,66,0.15,0.15,0.31,0.02,0.08
Samuel Iling-Junior,Juventus,2003,11,18,0.28,0.28,0.57,0.21,0.07
Ciro Immobile,Lazio,1990,40,43,0.49,0.2,0.69,0.57,0.08
Danny Ings,West Ham,1992,9,12,0.23,0.23,0.46,0.35,0.12
Alexander Isak,Newcastle United,1999,41,48,0.59,0.06,0.65,0.49,0.13
Ismaily,Lille,1990,40,95,0.1,0.05,0.15,0.06,0.12
Hiroki Ito,Stuttgart,1999,29,158,0.04,0.04,0.07,0.03,0.07
Junya Ito,Reims,1993,133,141,0.19,0.15,0.34,0.18,0.25
Alex Iwobi,Everton,1996,90,194,0.05,0.19,0.24,0.07,0.16
Nicolas Jackson,Villarreal,2001,49,40,0.68,0.23,0.9,0.45,0.18
Lee Jae-sung,Mainz 05,1992,29,69,0.33,0.24,0.57,0.2,0.13
Daniel James,Fulham,1997,24,15,0.29,0.14,0.43,0.25,0.11
Reece James,Chelsea,1999,52,90,0.07,0.07,0.14,0.07,0.22
Vitaly Janelt,Brentford,1998,14,82,0.12,0.04,0.16,0.1,0.06
Javi,Girona,1998,41,78,0.08,0.16,0.24,0.1,0.07
Luis Javier Su�rez,Almer�a,1997,29,26,0.24,0.24,0.48,0.26,0.13
Luis Javier Su�rez,Marseille,1997,5,11,0.92,0.31,1.23,0.74,0.11
Fredrik Jensen,Augsburg,1997,3,24,0.19,0.1,0.29,0.17,0.13
Mathias Jensen,Brentford,1996,21,141,0.16,0.19,0.35,0.07,0.16
Jes�,Sampdoria,1993,1,1,0.43,0.43,0.86,0.13,0.2
Gabriel Jesus,Arsenal,1997,44,64,0.48,0.26,0.74,0.61,0.17
Joelinton,Newcastle United,1996,64,130,0.2,0.03,0.24,0.24,0.08
Brennan Johnson,Nott'ham Forest,2001,88,30,0.25,0.09,0.34,0.26,0.1
Curtis Jones,Liverpool,2001,31,69,0.26,0.09,0.35,0.1,0.1
Frenkie de Jong,Barcelona,1997,92,279,0.07,0.14,0.21,0.09,0.15
Josan,Elche,1989,37,39,0.08,0.25,0.33,0.04,0.13
Willian Jos�,Betis,1991,6,14,0.25,0.12,0.37,0.36,0.17
Joselu,Espanyol,1990,23,66,0.48,0.06,0.54,0.44,0.07
Diogo Jota,Liverpool,1996,34,30,0.56,0.32,0.88,0.52,0.17
Stevan Joveti?,Hertha BSC,1989,14,40,0.4,0.2,0.61,0.28,0.11
Luka Jovi?,Fiorentina,1997,8,28,0.35,0.18,0.53,0.46,0.09
Jubal,Auxerre,1993,7,73,0.08,0.03,0.11,0.09,0.01
Anthony Jung,Werder Bremen,1991,28,73,0.07,0.17,0.24,0.04,0.06
Vinicius J�nior,Real Madrid,2000,221,87,0.32,0.29,0.61,0.34,0.3
Josip Juranovi?,Union Berlin,1995,11,27,0.19,0.1,0.29,0.15,0.14
Ozan Kabak,Hoffenheim,2000,23,76,0.08,0.08,0.15,0.05,0.05
Pavel Kade?�bek,Hoffenheim,1992,30,61,0.05,0.05,0.11,0.07,0.09
Florian Kainz,Koln,1992,64,159,0.23,0.38,0.61,0.23,0.33
Arnaud Kalimuendo,Rennes,2002,36,32,0.34,0.15,0.49,0.36,0.12
Yayah Kallon,Hellas Verona,2001,33,22,0.1,0.1,0.21,0.17,0.16
Daichi Kamada,Eint Frankfurt,1996,47,160,0.36,0.24,0.6,0.39,0.14
Jakub Kami?ski,Wolfsburg,2002,47,78,0.17,0.09,0.26,0.22,0.16
Kevin Kampl,RB Leipzig,1990,23,80,0.13,0.13,0.26,0.07,0.07
Harry Kane,Tottenham,1993,60,180,0.79,0.08,0.87,0.57,0.18
Lee Kangin,Mallorca,2001,107,96,0.19,0.19,0.38,0.17,0.17
Kenan Karaman,Schalke 04,1994,23,18,0.09,0.18,0.28,0.23,0.13
Grigoris Kastanos,Salernitana,1998,27,57,0.14,0.07,0.21,0.13,0.05
Silas Katompa,Stuttgart,1998,71,40,0.23,0.09,0.32,0.29,0.09
Michael Keane,Everton,1993,2,31,0.09,0.18,0.27,0.12,0.07
Franck Kessi�,Barcelona,1996,14,39,0.09,0.09,0.18,0.16,0.07
Sa�f-Eddine Khaoui,Clermont Foot,1995,23,72,0.31,0.13,0.44,0.23,0.17
Wahbi Khazri,Montpellier,1991,40,49,0.22,0.06,0.28,0.23,0.09
Joshua Kimmich,Bayern Munich,1995,42,315,0.16,0.19,0.35,0.07,0.22
Ansgar Knauff,Eint Frankfurt,2002,47,40,0.07,0.07,0.14,0.06,0.12
Robin Knoche,Union Berlin,1992,12,98,0.06,0.09,0.16,0.07,0.03
Sead Kola�inac,Marseille,1993,49,109,0.16,0.04,0.2,0.17,0.04
Randal Kolo Muani,Eint Frankfurt,1998,97,61,0.51,0.38,0.89,0.45,0.22
Ibrahima Kon�,Lorient,1999,15,27,0.4,0.06,0.46,0.32,0.06
Kouadio Kon�,M'Gladbach,2001,59,166,0.03,0.03,0.07,0.04,0.05
Teun Koopmeiners,Atalanta,1998,60,186,0.31,0.13,0.44,0.24,0.2
Filip Kosti?,Juventus,1992,101,78,0.11,0.28,0.39,0.08,0.25
Christian Kouam�,Fiorentina,1997,50,54,0.19,0.19,0.39,0.26,0.18
Rominigue Kouam�,Troyes,1996,59,169,0.03,0.03,0.07,0.05,0.07
Kalidou Koulibaly,Chelsea,1991,10,81,0.1,0.05,0.15,0.05,0.02
Jules Kound�,Barcelona,1998,58,185,0.04,0.11,0.15,0.04,0.1
Mateo Kova?i?,Chelsea,1994,37,153,0.05,0.11,0.16,0.09,0.11
Andrej Kramari?,Hoffenheim,1991,49,100,0.45,0.15,0.6,0.5,0.08
Toni Kroos,Real Madrid,1990,51,319,0.08,0.17,0.25,0.06,0.19
Lukas K�bler,Freiburg,1992,11,57,0.11,0.05,0.16,0.05,0.02
Takefusa Kubo,Real Sociedad,2001,117,81,0.33,0.15,0.48,0.21,0.22
Dejan Kulusevski,Tottenham,2000,87,67,0.09,0.3,0.39,0.11,0.2
Khvicha Kvaratskhelia,Napoli,2001,139,91,0.43,0.36,0.79,0.29,0.27
Grejohn Kyei,Clermont Foot,1995,27,37,0.4,0.12,0.52,0.47,0.06
Giorgos Kyriakopoulos,Sassuolo,1996,17,32,0.12,0.12,0.23,0.13,0.17
Ga�tan Laborde,Nice,1994,54,53,0.47,0.11,0.57,0.42,0.21
Alexandre Lacazette,Lyon,1991,40,108,0.83,0.15,0.98,0.74,0.16
Adam Lallana,Brighton,1988,10,33,0.25,0.12,0.37,0.11,0.12
Mohamed Lamine Bayo,Lille,1998,8,5,0.55,0.14,0.69,0.45,0.25
Sam Lammers,Sampdoria,1997,17,19,0.08,0.08,0.16,0.2,0.1
Sam Lammers,Empoli,1997,9,19,0.1,0.1,0.2,0.23,0.07
Cyle Larin,Valladolid,1995,25,17,0.49,0.18,0.67,0.46,0.16
Yasser Larouci,Troyes,2001,72,63,0.05,0.05,0.1,0.03,0.08
Kevin Lasagna,Hellas Verona,1992,36,19,0.06,0.11,0.17,0.35,0.09
Armand Lauriente,Sassuolo,1998,127,90,0.29,0.25,0.54,0.19,0.26
Darko Lazovi?,Hellas Verona,1990,72,81,0.16,0.2,0.36,0.14,0.26
Th�o Le Bris,Lorient,2002,51,47,0.12,0.12,0.25,0.07,0.07
J�r�my Le Douaron,Brest,1998,38,31,0.43,0.13,0.56,0.37,0.08
Enzo Le F�e,Lorient,2000,96,218,0.15,0.18,0.33,0.11,0.2
Rafael Le�o,Milan,1999,136,122,0.56,0.3,0.85,0.4,0.26
Pierre Lees-Melou,Brest,1993,33,179,0.16,0.16,0.33,0.07,0.08
Thomas Lemar,Atletico Madrid,1995,36,80,0.07,0.22,0.29,0.07,0.14
Sergio Le�n,Valladolid,1989,21,22,0.4,0.07,0.47,0.26,0.08
Johann Lepenant,Lyon,2002,20,125,0.05,0.09,0.14,0.04,0.05
Mehdi L�ris,Sampdoria,1998,56,62,0.04,0.04,0.07,0.13,0.07
Robert Lewandowski,Barcelona,1988,52,100,0.73,0.22,0.95,0.77,0.2
Jamie Leweling,Union Berlin,2001,8,4,0.34,0.34,0.68,0.22,0.09
Matthijs de Ligt,Bayern Munich,1999,17,143,0.11,0.04,0.15,0.04,0.02
Jesper Lindstr�m,Eint Frankfurt,2000,65,33,0.38,0.11,0.48,0.32,0.15
Dejan Ljubicic,Koln,1997,37,65,0.26,0.05,0.32,0.18,0.11
Marcos Llorente,Atletico Madrid,1995,64,88,0.05,0.11,0.16,0.11,0.2
Giovani Lo Celso,Villarreal,1996,35,97,0.16,0.24,0.4,0.2,0.26
Stanislav Lobotka,Napoli,1994,51,172,0.03,0.03,0.06,0.02,0.03
Luka Lochoshvili,Cremonese,1998,17,70,0.05,0.1,0.15,0.03,0.05
Sean Longstaff,Newcastle United,1997,21,116,0.04,0.14,0.18,0.13,0.12
Ademola Lookman,Atalanta,1997,73,79,0.68,0.31,0.99,0.47,0.34
Rony Lopes,Troyes,1995,61,97,0.27,0.19,0.46,0.19,0.19
David L�pez,Girona,1989,18,54,0.16,0.05,0.22,0.08,0.03
Unai L�pez,Rayo Vallecano,1995,17,98,0.07,0.14,0.22,0.09,0.1
Anthony Losilla,Bochum,1986,13,93,0.07,0.07,0.13,0.06,0.07
Sandi Lovri?,Udinese,1998,42,105,0.19,0.23,0.42,0.18,0.12
Anthony Lozano,Cediz,1993,19,28,0.06,0.06,0.12,0.17,0.05
Hirving Lozano,Napoli,1995,86,49,0.17,0.17,0.34,0.3,0.19
Jos� Luis Gay�,Valencia,1995,74,124,0.03,0.1,0.13,0.06,0.18
Douglas Luiz,Aston Villa,1998,48,148,0.18,0.18,0.37,0.09,0.14
Romelu Lukaku,Inter,1993,34,41,0.54,0.33,0.87,0.49,0.22
Dodi Lukebakio,Hertha BSC,1997,96,42,0.41,0.11,0.53,0.32,0.16
Lyanco,Southampton,1997,13,35,0.08,0.08,0.15,0.04,0.04
Alexis Mac Allister,Brighton,1998,69,174,0.31,0.06,0.37,0.38,0.13
Deiver Machado,Lens,1993,59,54,0.16,0.12,0.29,0.05,0.12
James Maddison,Leicester City,1996,77,151,0.36,0.33,0.69,0.31,0.34
Pablo Maffeo,Mallorca,1997,67,61,0.06,0.12,0.18,0.05,0.09
Hugo Magnetti,Brest,1998,32,70,0.05,0.11,0.16,0.05,0.03
Riyad Mahrez,Manchester City,1991,78,76,0.23,0.47,0.7,0.26,0.33
Arne Maier,Augsburg,1999,32,66,0.23,0.05,0.28,0.07,0.08
Linton Maina,Koln,1999,90,61,0.12,0.28,0.4,0.19,0.24
Lovro Majer,Rennes,1998,66,134,0.11,0.27,0.38,0.18,0.24
Donyell Malen,Dortmund,1999,87,60,0.47,0.32,0.79,0.48,0.23
Ruslan Malinovskyi,Atalanta,1993,19,50,0.16,0.33,0.49,0.1,0.33
Ruslan Malinovskyi,Marseille,1993,35,64,0.07,0.07,0.15,0.17,0.17
Gianluca Mancini,Roma,1996,17,93,0.03,0.06,0.09,0.07,0.05
Rolando Mandragora,Fiorentina,1997,18,142,0.09,0.18,0.28,0.07,0.23
Sadio Man�,Bayern Munich,1992,59,43,0.44,0.32,0.76,0.56,0.25
Orel Mangala,Nott'ham Forest,1998,14,43,0.06,0.06,0.12,0.03,0.02
Thomas Mangani,Ajaccio,1987,9,92,0.07,0.07,0.14,0.14,0.13
Faitout Maouassa,Montpellier,1998,37,51,0.23,0.23,0.47,0.16,0.1
Sekou Mara,Southampton,2002,7,7,0.16,0.32,0.49,0.17,0.12
Solly March,Brighton,1994,110,135,0.23,0.23,0.46,0.27,0.28
�scar de Marcos,Athletic Club,1989,76,204,0.03,0.19,0.22,0.01,0.11
Pablo Mar�,Monza,1993,6,57,0.04,0,0.04,0.02,0.01
Jos� Mar�a Gim�nez,Atletico Madrid,1995,9,63,0.07,0.04,0.11,0.07,0.02
R?zvan Marin,Empoli,1996,35,118,0.07,0.14,0.21,0.05,0.15
Omar Marmoush,Wolfsburg,1999,36,51,0.3,0.06,0.37,0.37,0.07
Eric Martel,Koln,2002,17,72,0.04,0.04,0.09,0.08,0.04
Anthony Martial,Manchester United,1995,18,35,0.55,0.18,0.74,0.58,0.13
Aar�n Mart�n,Mainz 05,1997,25,86,0.24,0.15,0.39,0.11,0.14
Iv�n Mart�n,Girona,1999,30,56,0.17,0.17,0.34,0.14,0.13
Martinelli,Arsenal,2001,124,94,0.48,0.16,0.65,0.3,0.29
Arnau Martinez,Girona,2003,64,113,0.1,0.13,0.23,0.06,0.14
Lautaro Mart�nez,Inter,1997,49,83,0.73,0.21,0.94,0.63,0.19
Lucas Mart�nez Quarta,Fiorentina,1996,19,119,0.04,0.04,0.08,0.1,0.02
Erhan Ma�ovi?,Bochum,1998,4,60,0.17,0,0.17,0.11,0.04
Jaime Mata,Getafe,1988,2,10,0.21,0.21,0.41,0.4,0.27
Nemanja Mati?,Roma,1988,50,134,0.1,0.1,0.19,0.05,0.13
Chrislain Matsima,Monaco,2002,2,23,0,0.2,0.2,0.14,0.07
Stephy Mavididi,Montpellier,1998,34,22,0.28,0.14,0.42,0.3,0.1
Konstantinos Mavropanos,Stuttgart,1997,34,120,0.08,0.04,0.12,0.16,0.05
Eric Maxim Choupo-Moting,Bayern Munich,1989,11,43,0.81,0.16,0.97,0.49,0.16
Borja Mayoral,Getafe,1997,58,64,0.26,0.07,0.33,0.26,0.09
Noussair Mazraoui,Bayern Munich,1997,39,99,0.08,0.33,0.42,0.09,0.16
Pasquale Mazzocchi,Salernitana,1995,70,60,0.09,0.14,0.23,0.06,0.12
Kylian Mbapp�,Paris S-G,1998,165,128,0.93,0.16,1.09,0.84,0.23
Bryan Mbeumo,Brentford,1999,66,88,0.28,0.25,0.53,0.3,0.23
John McGinn,Aston Villa,1994,34,140,0.03,0.1,0.13,0.08,0.09
Weston McKennie,Juventus,1998,19,39,0.09,0.09,0.17,0.08,0.06
Dwight McNeil,Everton,1999,76,69,0.25,0.11,0.36,0.13,0.22
Facundo Medina,Lens,1999,81,238,0.06,0.13,0.19,0.08,0.06
Ben Mee,Brentford,1989,8,84,0.08,0.03,0.11,0.09,0.04
Gonzalo Melero,Almer�a,1994,31,97,0.19,0.15,0.34,0.15,0.08
Nuno Mendes,Paris S-G,2002,51,77,0.06,0.35,0.41,0.06,0.17
Thiago Mendes,Lyon,1992,10,170,0.04,0.04,0.09,0.03,0.03
Brais M�ndez,Real Sociedad,1997,41,137,0.3,0.15,0.45,0.21,0.14
Ferland Mendy,Real Madrid,1995,23,56,0,0.07,0.07,0.02,0.04
Mikel Merino,Real Sociedad,1996,30,172,0.07,0.32,0.4,0.15,0.2
Quentin Merlin,Nantes,2002,43,94,0.05,0.1,0.15,0.04,0.16
Roque Mesa,Valladolid,1989,29,116,0.11,0.06,0.17,0.08,0.06
Lionel Messi,Paris S-G,1987,114,300,0.51,0.51,1.02,0.49,0.43
Junior Messias,Milan,1991,45,54,0.3,0.12,0.42,0.14,0.05
Sven Michel,Union Berlin,1990,9,12,0.55,0.18,0.73,0.3,0.16
Nikola Milenkovi?,Fiorentina,1997,9,78,0.08,0.04,0.13,0.08,0.02
Arkadiusz Milik,Juventus,1994,10,34,0.4,0.06,0.45,0.37,0.12
Sergej Milinkovi?-Savi?,Lazio,1995,47,166,0.27,0.24,0.51,0.2,0.21
Pere Milla,Elche,1992,23,65,0.29,0.05,0.34,0.26,0.06
Kim Min-jae,Napoli,1996,42,169,0.06,0.06,0.12,0.03,0.06
Takumi Minamino,Monaco,1995,26,28,0.12,0.37,0.5,0.23,0.17
Tyrone Mings,Aston Villa,1993,20,111,0.03,0.06,0.09,0.03,0.04
Aleksei Miranchuk,Torino,1995,47,99,0.17,0.22,0.39,0.12,0.18
Juan Miranda,Betis,2000,26,73,0.18,0.12,0.31,0.14,0.18
Tyrick Mitchell,Crystal Palace,1999,23,106,0,0.06,0.06,0.02,0.04
Kaoru Mitoma,Brighton,1997,143,90,0.27,0.19,0.47,0.31,0.25
Aleksandar Mitrovi?,Fulham,1994,24,44,0.63,0.04,0.67,0.67,0.1
Henrikh Mkhitaryan,Inter,1989,48,133,0.14,0.09,0.23,0.13,0.1
Anthony Modeste,Dortmund,1988,3,8,0.22,0.11,0.33,0.48,0.12
Luka Modri?,Real Madrid,1985,50,182,0.21,0.15,0.36,0.22,0.23
Terem Moffi,Nice,1999,25,20,0.41,0.2,0.61,0.56,0.19
Mostafa Mohamed,Nantes,1997,13,22,0.37,0.09,0.46,0.34,0.08
Nahuel Molina,Atletico Madrid,1998,73,112,0.13,0.06,0.19,0.08,0.12
Florent Mollet,Nantes,1991,25,73,0.08,0.17,0.25,0.1,0.23
Jon Moncayola,Osasuna,1998,34,175,0.04,0.11,0.15,0.07,0.07
Monchu,Valladolid,1999,17,111,0.13,0.09,0.22,0.11,0.09
�lvaro Morata,Atletico Madrid,1992,33,17,0.62,0.09,0.71,0.56,0.09
Gerard Moreno,Villarreal,1992,21,68,0.51,0.22,0.73,0.64,0.19
Nikola Moro,Bologna,1998,24,102,0.07,0.37,0.44,0.06,0.16
Dany Mota,Monza,1998,66,34,0.24,0.05,0.28,0.24,0.1
Youssoufa Moukoko,Dortmund,2004,9,11,0.55,0.24,0.79,0.5,0.14
Mason Mount,Chelsea,1999,48,98,0.16,0.11,0.27,0.11,0.16
Samuel Moutoussamy,Nantes,1996,41,156,0,0.08,0.08,0.07,0.04
Mykhailo Mudryk,Chelsea,2001,25,20,0,0.27,0.27,0.25,0.13
Nordi Mukiele,Paris S-G,1997,19,26,0,0.24,0.24,0.08,0.17
Thomas M�ller,Bayern Munich,1989,33,88,0.38,0.43,0.81,0.48,0.36
Marshall Munetsi,Reims,1996,33,95,0.23,0.1,0.33,0.31,0.1
Pablo Mu�oz,Rayo Vallecano,2003,0,1,0,0,0,0,0
Luis Muriel,Atalanta,1991,53,71,0.25,0.25,0.5,0.24,0.3
Vedat Muriqi,Mallorca,1994,28,60,0.46,0.09,0.55,0.38,0.06
Jacob Murphy,Newcastle United,1995,66,57,0.29,0.14,0.43,0.24,0.2
Jamal Musiala,Bayern Munich,2003,89,124,0.49,0.41,0.9,0.33,0.27
Enock Mwepu,Brighton,1998,5,6,0,0.42,0.42,0.09,0.2
Joakim M�hle,Atalanta,1997,81,137,0.12,0.12,0.24,0.12,0.12
Nathan N'Goumou,M'Gladbach,2000,23,14,0.13,0,0.13,0.11,0.04
Stanley N'Soki,Hoffenheim,1999,17,64,0.07,0,0.07,0.04,0.02
Nacho,Real Madrid,1990,18,75,0.05,0.05,0.11,0.04,0.05
Michel Ndary Adopo,Torino,2000,2,10,0,0,0,0.02,0.02
Youssouf Ndayishimiye,Nice,1998,7,30,0.16,0,0.16,0.08,0.01
�lvaro Negredo,Cediz,1985,4,17,0.12,0.24,0.36,0.21,0.28
Reiss Nelson,Arsenal,1999,19,6,1.27,0.85,2.12,0.46,0.58
Ilija Nestorovski,Udinese,1990,1,19,0.28,0.14,0.42,0.23,0.07
Luca Netz,M'Gladbach,2003,12,12,0.13,0.38,0.51,0.13,0.15
R�ben Neves,Wolves,1997,28,218,0.18,0.03,0.21,0.15,0.05
Neymar,Paris S-G,1992,69,161,0.76,0.64,1.4,0.47,0.51
Cyril Ngonge,Hellas Verona,2000,18,13,0.36,0.12,0.48,0.24,0.07
Florian Niederlechner,Augsburg,1990,1,18,0.4,0.1,0.49,0.28,0.04
Sa�l ��guez,Atletico Madrid,1994,12,34,0.25,0.08,0.33,0.2,0.05
Rasmus Nissen,Leeds United,1997,15,89,0.14,0.05,0.18,0.04,0.05
Eddie Nketiah,Arsenal,1999,32,15,0.33,0.08,0.41,0.68,0.11
Christopher Nkunku,RB Leipzig,1997,43,71,0.76,0.19,0.95,0.68,0.2
Felix Nmecha,Wolfsburg,2000,23,86,0.15,0.25,0.39,0.13,0.16
Diego Noguerol,Valencia,2002,21,17,0.6,0.2,0.81,0.71,0.22
Arnaud Nordin,Montpellier,1998,109,63,0.34,0.11,0.45,0.24,0.11
Riad Nouri,Ajaccio,1985,33,39,0.05,0.05,0.11,0.13,0.12
Matheus Nunes,Wolves,1998,59,84,0.04,0.04,0.07,0.09,0.08
Darwin N��ez,Liverpool,1999,61,29,0.48,0.16,0.64,0.64,0.28
Gerzino Nyamsi,Strasbourg,1997,13,68,0.06,0.06,0.11,0.09,0.01
M'Bala Nzola,Spezia,1996,50,50,0.44,0.07,0.51,0.37,0.09
Christian N�rgaard,Brentford,1994,4,73,0.05,0.15,0.2,0.08,0.16
Brian Ocampo,Cediz,1999,40,22,0.08,0.08,0.16,0.04,0.14
Wilson Odobert,Troyes,2004,72,47,0.2,0.1,0.31,0.13,0.09
Florent Ogier,Clermont Foot,1989,4,57,0,0.05,0.05,0.01,0.07
Michael Olise,Crystal Palace,2001,111,133,0.07,0.36,0.43,0.09,0.29
Brian Oliv�n,Espanyol,1994,48,80,0.04,0.26,0.3,0.02,0.16
Math�as Olivera,Napoli,1997,60,88,0.11,0.11,0.22,0.04,0.12
