"Player","Squad","Born","PrgC","PrgP","Gls","Ast","G+A","xG","xAG"
Harvey Barnes,Leicester City,1997,100,79,0.43,0.03,0.46,0.3,0.1
Leandro Barreiro Martins,Mainz 05,2000,17,54,0.17,0.13,0.29,0.16,0.09
Ander Barrenetxea,Real Sociedad,2001,36,27,0.31,0.1,0.41,0.31,0.12
Micka�l Barreto,Ajaccio,1991,26,87,0.07,0.07,0.14,0.06,0.13
Musa Barrow,Bologna,1998,68,58,0.14,0.37,0.5,0.14,0.22
Simone Bastoni,Spezia,1996,20,32,0.15,0.3,0.45,0.08,0.13
Christoph Baumgartner,Hoffenheim,1999,76,100,0.25,0.11,0.35,0.25,0.15
Cyrille Bayala,Ajaccio,1996,46,66,0.04,0.04,0.09,0.09,0.09
Rodrigo Bec�o,Udinese,1996,19,98,0.07,0.04,0.11,0.05,0.02
Sheraldo Becker,Union Berlin,1995,105,44,0.39,0.25,0.63,0.23,0.2
Kevin Behrens,Union Berlin,1991,11,71,0.47,0.06,0.53,0.28,0.07
J�r�mie Bela,Clermont Foot,1993,22,24,0.12,0.12,0.24,0.07,0.03
Youcef Bela�li,Ajaccio,1992,32,55,0.47,0.23,0.7,0.48,0.27
Jean-Ricner Bellegarde,Strasbourg,1998,104,153,0.07,0.22,0.3,0.1,0.19
Jude Bellingham,Dortmund,2003,97,252,0.27,0.13,0.4,0.27,0.14
Eliesse Ben Seghir,Monaco,2005,31,55,0.34,0.09,0.43,0.17,0.11
Wissam Ben Yedder,Monaco,1990,48,75,0.81,0.26,1.06,0.74,0.16
Isma�l Bennacer,Milan,1997,30,132,0.09,0.09,0.18,0.04,0.15
Sa�d Benrahma,West Ham,1995,109,82,0.26,0.13,0.39,0.31,0.2
Ramy Bensebaini,M'Gladbach,1995,40,101,0.22,0.04,0.25,0.19,0.08
Nabil Bentaleb,Angers,1994,46,176,0.14,0.14,0.29,0.11,0.08
Rodrigo Bentancur,Tottenham,1997,26,76,0.3,0.12,0.42,0.13,0.05
Karim Benzema,Real Madrid,1987,72,138,0.84,0.13,0.97,0.95,0.26
Domenico Berardi,Sassuolo,1994,57,114,0.58,0.34,0.92,0.55,0.32
Yuri Berchiche,Athletic Club,1990,59,179,0.04,0.04,0.07,0.05,0.05
�lex Berenguer,Athletic Club,1995,73,77,0.16,0.04,0.2,0.17,0.18
Mergim Berisha,Augsburg,1998,20,28,0.48,0.21,0.7,0.43,0.14
Juan Bernat,Paris S-G,1993,24,38,0.05,0.22,0.27,0.05,0.17
Beto,Udinese,1998,25,13,0.42,0.04,0.47,0.46,0.11
Jaka Bijol,Udinese,1999,3,66,0.1,0.07,0.16,0.07,0.05
El Bilal Tour�,Almer�a,2001,18,14,0.5,0.14,0.64,0.45,0.09
Philip Billing,Bournemouth,1996,37,80,0.23,0.03,0.26,0.16,0.1
Cristiano Biraghi,Fiorentina,1992,69,161,0.07,0.14,0.21,0.07,0.19
Leonardo Bittencourt,Werder Bremen,1993,51,74,0.17,0.11,0.28,0.08,0.15
Ludovic Blas,Nantes,1997,122,147,0.22,0.16,0.38,0.3,0.18
Jeremie Boga,Atalanta,1997,64,53,0.23,0.58,0.81,0.22,0.33
Giacomo Bonaventura,Fiorentina,1989,64,102,0.24,0.05,0.28,0.2,0.15
Federico Bonazzoli,Salernitana,1997,11,43,0.16,0.08,0.24,0.19,0.09
Theo Bongonda,Cediz,1995,75,39,0.19,0.14,0.33,0.24,0.14
Neto Borges,Clermont Foot,1996,69,100,0.1,0.03,0.13,0.1,0.09
Rafael Borr�,Eint Frankfurt,1995,26,34,0.17,0.17,0.33,0.34,0.16
Erik Botheim,Salernitana,2000,11,21,0.1,0.31,0.42,0.06,0.18
Hicham Boudaoui,Nice,1999,39,110,0.05,0.1,0.14,0.04,0.09
Sofiane Boufal,Angers,1993,49,56,0.43,0.32,0.76,0.39,0.32
Mehdi Bourabia,Spezia,1991,37,113,0.03,0.1,0.13,0.07,0.14
Benjamin Bourigeaud,Rennes,1994,40,264,0.21,0.29,0.5,0.26,0.34
Jarrod Bowen,West Ham,1996,102,72,0.17,0.14,0.31,0.25,0.2
Lucas Boy�,Elche,1996,58,63,0.26,0.07,0.33,0.3,0.11
Bilal Brahimi,Nice,2000,41,16,0.34,0.23,0.56,0.12,0.19
Martin Braithwaite,Espanyol,1991,32,54,0.37,0.07,0.44,0.34,0.05
Julian Brandt,Dortmund,1996,67,119,0.34,0.3,0.64,0.19,0.34
Darko Bra�anac,Osasuna,1992,18,49,0.09,0.09,0.17,0.1,0.06
Gleison Bremer,Juventus,1997,8,54,0.14,0.03,0.17,0.17,0.06
Marcelo Brozovi?,Inter,1992,29,114,0.15,0.25,0.41,0.13,0.14
Bryan,Sevilla,2001,28,22,0.2,0.2,0.39,0.28,0.07
Emi Buend�a,Aston Villa,1996,60,138,0.19,0.07,0.26,0.24,0.21
Marius B�lter,Schalke 04,1993,78,86,0.38,0.03,0.42,0.31,0.16
Facundo Buonanotte,Brighton,2004,9,13,0.16,0.16,0.32,0.22,0.09
Alessandro Buongiorno,Torino,1999,13,81,0.03,0.07,0.1,0.07,0.04
Jonathan Burkardt,Mainz 05,2000,9,14,0.17,0.34,0.51,0.5,0.18
Aur�lio Buta,Eint Frankfurt,1997,45,47,0.2,0.14,0.34,0.04,0.22
Jamie Bynoe-Gittens,Dortmund,2004,24,9,0.51,0.17,0.68,0.41,0.12
R�my Cabella,Lille,1990,113,230,0.25,0.36,0.61,0.3,0.38
Anthony Caci,Mainz 05,1997,20,90,0.09,0.04,0.13,0.03,0.11
Mois�s Caicedo,Brighton,2001,38,219,0.03,0.03,0.06,0.05,0.08
Jens Cajuste,Reims,1999,46,109,0.18,0.06,0.24,0.09,0.07
Davide Calabria,Milan,1996,26,108,0.05,0.21,0.27,0.06,0.09
Hakan �alhano?lu,Inter,1994,46,172,0.11,0.23,0.34,0.12,0.19
Dominic Calvert-Lewin,Everton,1997,18,15,0.15,0.08,0.23,0.45,0.06
Nicol� Cambiaghi,Empoli,2000,73,42,0.42,0.07,0.49,0.23,0.08
Sergio Camello,Rayo Vallecano,2001,40,42,0.22,0.19,0.41,0.27,0.09
Emre Can,Dortmund,1994,34,99,0.09,0.05,0.14,0.08,0.06
Sergio Canales,Betis,1991,82,143,0.15,0.11,0.26,0.16,0.22
Jo�o Cancelo,Manchester City,1994,72,106,0.14,0.07,0.21,0.06,0.06
Jo�o Cancelo,Bayern Munich,1994,51,61,0.09,0.36,0.44,0.06,0.21
Antonio Candreva,Salernitana,1987,71,135,0.23,0.13,0.36,0.12,0.15
Gianluca Caprari,Monza,1993,100,92,0.18,0.07,0.26,0.18,0.09
Francesco Caputo,Empoli,1987,16,21,0.26,0.21,0.47,0.39,0.12
Maxence Caqueret,Lyon,2000,46,183,0.13,0.23,0.36,0.09,0.16
Carlos,Monza,1999,87,101,0.18,0.15,0.32,0.13,0.11
Jos� Carlos Lazo,Espanyol,1996,2,4,0.57,0.57,1.13,0.13,0.13
Carmona,Sevilla,2002,9,11,0.34,0.17,0.51,0.14,0.06
Yannick Carrasco,Atletico Madrid,1993,146,84,0.27,0.12,0.39,0.31,0.16
William Carvalho,Betis,1992,46,203,0.11,0.04,0.15,0.11,0.06
Nicol� Casale,Lazio,1998,11,70,0.04,0.04,0.07,0.02,0.01
Casemiro,Manchester United,1992,14,152,0.17,0.13,0.3,0.14,0.13
Timothy Castagne,Leicester City,1995,39,106,0.06,0.08,0.14,0.06,0.07
Gaetano Castrovilli,Fiorentina,1997,12,14,0.25,0.13,0.38,0.15,0.14
Catena,Rayo Vallecano,1994,8,119,0.03,0.03,0.06,0.04,0.04
Yoann Cathline,Lorient,2002,46,29,0.08,0.08,0.17,0.12,0.05
Edinson Cavani,Valencia,1987,8,20,0.31,0.12,0.43,0.37,0.11
�lex Centelles,Almer�a,1997,17,35,0.08,0.16,0.24,0.03,0.11
Julio C�sar Enciso,Brighton,2004,39,31,0.45,0.22,0.67,0.45,0.19
Fares Cha�bi,Toulouse,2002,71,101,0.19,0.19,0.38,0.23,0.19
Xavier Chavalerin,Troyes,1991,18,95,0.15,0.07,0.22,0.06,0.08
Rayan Cherki,Lyon,2003,133,144,0.19,0.29,0.48,0.24,0.34
Federico Chiesa,Juventus,1997,46,34,0.21,0.53,0.74,0.15,0.27
Ben Chilwell,Chelsea,1996,43,41,0.13,0.13,0.26,0.09,0.14
Andreas Christensen,Barcelona,1996,18,91,0.05,0.05,0.1,0.05,0.03
Ryan Christie,Bournemouth,1995,39,71,0.05,0.05,0.1,0.14,0.12
Samuel Chukwueze,Villarreal,1999,133,85,0.23,0.19,0.42,0.25,0.16
Patrick Ciurria,Monza,1995,67,91,0.2,0.16,0.36,0.16,0.18
Alexis Claude-Maurice,Lens,1998,11,25,0.75,0.45,1.19,0.41,0.19
Jonathan Clauss,Marseille,1992,83,121,0.07,0.31,0.38,0.15,0.29
Conor Coady,Everton,1993,4,43,0.04,0.04,0.09,0.04,0.01
�lex Collado,Elche,1999,24,34,0.12,0.12,0.25,0.08,0.2
